Year,Age,4-Year Public In State (Stem) — Midwest - Income,4-Year Public In State (Stem) — Midwest - Expenses,4-Year Public In State (Stem) — Midwest - Loan Payment,4-Year Public In State (Stem) — Midwest - Debt,4-Year Public In State (Stem) — Midwest - Savings,4-Year Public In State (Stem) — Midwest - Investments,4-Year Public In State (Stem) — Midwest - Net Worth,CC + Transfer (Business) — Midwest - Income,CC + Transfer (Business) — Midwest - Expenses,CC + Transfer (Business) — Midwest - Loan Payment,CC + Transfer (Business) — Midwest - Debt,CC + Transfer (Business) — Midwest - Savings,CC + Transfer (Business) — Midwest - Investments,CC + Transfer (Business) — Midwest - Net Worth,Electrician Apprenticeship — Midwest - Income,Electrician Apprenticeship — Midwest - Expenses,Electrician Apprenticeship — Midwest - Loan Payment,Electrician Apprenticeship — Midwest - Debt,Electrician Apprenticeship — Midwest - Savings,Electrician Apprenticeship — Midwest - Investments,Electrician Apprenticeship — Midwest - Net Worth,Military Enlistment + GI Bill — Midwest - Income,Military Enlistment + GI Bill — Midwest - Expenses,Military Enlistment + GI Bill — Midwest - Loan Payment,Military Enlistment + GI Bill — Midwest - Debt,Military Enlistment + GI Bill — Midwest - Savings,Military Enlistment + GI Bill — Midwest - Investments,Military Enlistment + GI Bill — Midwest - Net Worth,Direct Workforce — Midwest - Income,Direct Workforce — Midwest - Expenses,Direct Workforce — Midwest - Loan Payment,Direct Workforce — Midwest - Debt,Direct Workforce — Midwest - Savings,Direct Workforce — Midwest - Investments,Direct Workforce — Midwest - Net Worth
0,18,8000,8640,0,58664,0,0,-58664,10000,8640,0,42730,0,0,-42730,33250,8640,0,15592,2726,2726,-12865,39696,4800,0,0,3255,3255,3255,33648,8640,0,0,2759,2759,2759
1,19,8000,8640,0,62478,0,0,-62478,10000,8640,0,45507,0,0,-45507,39900,8640,0,16605,3272,6189,-10416,42780,4800,0,0,3508,6991,6991,34321,8640,0,0,2814,5767,5767
2,20,8000,23760,0,66539,0,0,-66539,10000,23760,0,48465,0,0,-48465,46550,23760,0,17684,3817,10440,-7245,44532,4800,0,0,3652,11132,11132,35007,23760,0,0,2871,9041,9041
3,21,8000,23760,0,70864,0,0,-70864,10000,23760,0,51616,0,0,-51616,53200,23760,0,18834,4362,15533,-3301,49584,4800,0,0,4066,15977,15977,35708,23760,0,0,2928,12602,12602
4,22,38000,23760,0,75470,3116,3116,-72354,30386,23760,0,54971,1156,1156,-53814,64420,23760,4422,15539,5282,21902,6363,28056,8640,0,0,2806,19901,19901,36422,23760,0,0,2987,16470,16470
5,23,79040,23760,10283,69929,6481,9815,-60114,62899,23760,7490,50935,5158,6395,-44540,66030,23760,4422,12023,5414,28850,16827,28056,8640,0,0,2806,24100,24100,37150,23760,0,0,3046,20670,20670
6,24,82202,23760,10283,64017,6741,17243,-46774,65100,23760,7490,46629,5338,12181,-34447,67681,23760,4422,8272,5550,36419,28147,28056,23760,0,0,2806,28592,28592,37893,23760,0,0,3107,25224,25224
7,25,85490,23760,10283,57709,7010,25460,-32249,67379,23760,7490,42034,5525,18559,-23475,69373,23760,4422,4270,5689,44657,40387,28056,23760,0,0,2806,33399,33399,38651,23760,0,0,3169,30159,30159
8,26,88909,23760,10283,50978,7291,34533,-16446,69737,23760,7490,37132,5718,25576,-11555,71107,23760,4422,0,5831,53614,53614,76000,23760,0,0,6232,41969,41969,39424,23760,0,0,3233,35503,35503
9,27,92466,23760,10283,43797,7582,44532,735,72178,23760,7490,31901,5919,33285,1384,72885,23760,0,0,5977,63344,63344,79040,23760,0,0,6481,51388,51388,40213,23760,0,0,3297,41285,41285
10,28,96164,23760,10283,36135,7885,55535,19400,74704,23760,7490,26320,6126,41741,15421,74707,23760,0,0,6126,73904,73904,82202,23760,0,0,6741,61726,61726,41017,23760,0,0,3363,47539,47539
11,29,100011,23760,10283,27960,8201,67624,39664,77319,23760,7490,20365,6340,51003,30638,76575,23760,0,0,6279,85356,85356,85490,23760,0,0,7010,73057,73057,41837,23760,0,0,3431,54297,54297
12,30,104011,23760,10283,19237,8529,80886,61649,80025,23760,7490,14012,6562,61135,47123,78489,23760,0,0,6436,97767,97767,88909,23760,0,0,7291,85462,85462,42674,23760,0,0,3499,61597,61597
13,31,108172,23760,10283,9930,8870,95418,85488,82826,23760,7490,7233,6792,72207,64974,80451,23760,0,0,6597,111208,111208,92466,23760,0,0,7582,99026,99026,43527,23760,0,0,3569,69478,69478
