Year,Age,4-Year Public In State (Stem) — Midwest - Income,4-Year Public In State (Stem) — Midwest - Net Income,4-Year Public In State (Stem) — Midwest - Expenses,4-Year Public In State (Stem) — Midwest - Loan Payment,4-Year Public In State (Stem) — Midwest - Debt,4-Year Public In State (Stem) — Midwest - Savings,4-Year Public In State (Stem) — Midwest - Investments,4-Year Public In State (Stem) — Midwest - Net Worth,4-Year Public In State (Stem) — Midwest - Cumulative Earnings,4-Year Public In State (Stem) — Midwest - Cumulative Taxes,4-Year Public In State (Stem) — Midwest - Savings Rate,CC + Transfer (Business) — Midwest - Income,CC + Transfer (Business) — Midwest - Net Income,CC + Transfer (Business) — Midwest - Expenses,CC + Transfer (Business) — Midwest - Loan Payment,CC + Transfer (Business) — Midwest - Debt,CC + Transfer (Business) — Midwest - Savings,CC + Transfer (Business) — Midwest - Investments,CC + Transfer (Business) — Midwest - Net Worth,CC + Transfer (Business) — Midwest - Cumulative Earnings,CC + Transfer (Business) — Midwest - Cumulative Taxes,CC + Transfer (Business) — Midwest - Savings Rate,Electrician Apprenticeship — Midwest - Income,Electrician Apprenticeship — Midwest - Net Income,Electrician Apprenticeship — Midwest - Expenses,Electrician Apprenticeship — Midwest - Loan Payment,Electrician Apprenticeship — Midwest - Debt,Electrician Apprenticeship — Midwest - Savings,Electrician Apprenticeship — Midwest - Investments,Electrician Apprenticeship — Midwest - Net Worth,Electrician Apprenticeship — Midwest - Cumulative Earnings,Electrician Apprenticeship — Midwest - Cumulative Taxes,Electrician Apprenticeship — Midwest - Savings Rate,Military Enlistment + GI Bill — Midwest - Income,Military Enlistment + GI Bill — Midwest - Net Income,Military Enlistment + GI Bill — Midwest - Expenses,Military Enlistment + GI Bill — Midwest - Loan Payment,Military Enlistment + GI Bill — Midwest - Debt,Military Enlistment + GI Bill — Midwest - Savings,Military Enlistment + GI Bill — Midwest - Investments,Military Enlistment + GI Bill — Midwest - Net Worth,Military Enlistment + GI Bill — Midwest - Cumulative Earnings,Military Enlistment + GI Bill — Midwest - Cumulative Taxes,Military Enlistment + GI Bill — Midwest - Savings Rate,Direct Workforce — Midwest - Income,Direct Workforce — Midwest - Net Income,Direct Workforce — Midwest - Expenses,Direct Workforce — Midwest - Loan Payment,Direct Workforce — Midwest - Debt,Direct Workforce — Midwest - Savings,Direct Workforce — Midwest - Investments,Direct Workforce — Midwest - Net Worth,Direct Workforce — Midwest - Cumulative Earnings,Direct Workforce — Midwest - Cumulative Taxes,Direct Workforce — Midwest - Savings Rate
0,18,8000,6560,8640,0,58664,0,0,-58664,8000,1440,0.0%,10000,8200,8640,0,42730,0,0,-42730,10000,1800,0.0%,33250,27265,8640,0,15592,2726,2726,-12865,33250,5985,10.0%,39696,32551,4800,0,0,3255,3255,3255,39696,7145,10.0%,33648,27591,8640,0,0,2759,2759,2759,33648,6057,10.0%
1,19,8000,6560,8640,0,62478,0,0,-62478,16000,2880,0.0%,10000,8200,8640,0,45507,0,0,-45507,20000,3600,0.0%,39900,32718,8640,0,16605,3272,6189,-10416,73150,13167,10.0%,42780,35080,4800,0,0,3508,6991,6991,82476,14846,10.0%,34321,28143,8640,0,0,2814,5767,5767,67969,12234,10.0%
2,20,8000,6560,23760,0,66539,0,0,-66539,24000,4320,0.0%,10000,8200,23760,0,48465,0,0,-48465,30000,5400,0.0%,46550,38171,23760,0,17684,3817,10440,-7245,119700,21546,10.0%,44532,36516,4800,0,0,3652,11132,11132,127008,22861,10.0%,35007,28706,23760,0,0,2871,9041,9041,102976,18536,10.0%
3,21,8000,6560,23760,0,70864,0,0,-70864,32000,5760,0.0%,10000,8200,23760,0,51616,0,0,-51616,40000,7200,0.0%,53200,43624,23760,0,18834,4362,15533,-3301,172900,31122,10.0%,49584,40659,4800,0,0,4066,15977,15977,176592,31787,10.0%,35708,29280,23760,0,0,2928,12602,12602,138684,24963,10.0%
4,22,38000,31160,23760,0,75470,3116,3116,-72354,70000,12600,10.0%,30386,24916,23760,0,54971,1156,1156,-53814,70386,12669,4.6%,64420,52824,23760,4422,15539,5282,21902,6363,237320,42718,10.0%,28056,28056,8640,0,0,2806,19901,19901,204648,31787,10.0%,36422,29866,23760,0,0,2987,16470,16470,175106,31519,10.0%
5,23,79040,64813,23760,10283,69929,6481,9815,-60114,149040,26827,10.0%,62899,51577,23760,7490,50935,5158,6395,-44540,133285,23991,10.0%,66030,54145,23760,4422,12023,5414,28850,16827,303349,54603,10.0%,28056,28056,8640,0,0,2806,24100,24100,232704,31787,10.0%,37150,30463,23760,0,0,3046,20670,20670,212256,38206,10.0%
6,24,82202,67405,23760,10283,64017,6741,17243,-46774,231242,41623,10.0%,65100,53382,23760,7490,46629,5338,12181,-34447,198385,35709,10.0%,67681,55498,23760,4422,8272,5550,36419,28147,371030,66785,10.0%,28056,28056,23760,0,0,2806,28592,28592,260760,31787,10.0%,37893,31072,23760,0,0,3107,25224,25224,250149,45027,10.0%
7,25,85490,70102,23760,10283,57709,7010,25460,-32249,316731,57012,10.0%,67379,55251,23760,7490,42034,5525,18559,-23475,265764,47838,10.0%,69373,56886,23760,4422,4270,5689,44657,40387,440403,79273,10.0%,28056,28056,23760,0,0,2806,33399,33399,288816,31787,10.0%,38651,31694,23760,0,0,3169,30159,30159,288800,51984,10.0%
8,26,88909,72906,23760,10283,50978,7291,34533,-16446,405641,73015,10.0%,69737,57185,23760,7490,37132,5718,25576,-11555,335502,60390,10.0%,71107,58308,23760,4422,0,5831,53614,53614,511510,92072,10.0%,76000,62320,23760,0,0,6232,41969,41969,364816,45467,10.0%,39424,32328,23760,0,0,3233,35503,35503,328224,59080,10.0%
9,27,92466,75822,23760,10283,43797,7582,44532,735,498106,89659,10.0%,72178,59186,23760,7490,31901,5919,33285,1384,407680,73382,10.0%,72885,59766,23760,0,0,5977,63344,63344,584395,105191,10.0%,79040,64813,23760,0,0,6481,51388,51388,443856,59694,10.0%,40213,32974,23760,0,0,3297,41285,41285,368437,66319,10.0%
