Metric,4-Year Public In State (Stem) — Midwest,CC + Transfer (Business) — Midwest,Electrician Apprenticeship — Midwest,Military Enlistment + GI Bill — Midwest,Direct Workforce — Midwest
Education Cost,55084,40122,14640,0,0
Loan Amount,55084,40122,14640,0,0
Total Interest Paid,47749,34780,7470,0,0
Year Debt-Free,32,32,26,N/A,N/A
Year Positive Net Worth,29,29,23,18,18
Net Worth at 25,-46104,-34797,18743,23640,10479
Net Worth at 30,22639,13273,53167,58110,20331
Net Worth at 38,129396,85793,125959,146006,44715
20-Year Earnings,1652664,1284065,1421364,1430777,817559
Peak Debt Burden,15.87%,14.52%,8.37%,0.00%,0.00%
